Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
legendary-modern-decks-2026,"Legendary Modern Decks 2026","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Structure Deck","Yu-Gi-Oh, Structure Deck, 2026, Legendary",TRUE,Title,"Default Title",SD-2026-001,250,shopify,12,deny,manual,24.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Legendary+Modern+Decks+2026,1,"Legendary Modern Decks 2026 placeholder image",FALSE,"Legendary Modern Decks 2026","Structure Deck product import for Arcana Vault.",active
the-chronicles-deck-spirit-charmers,"The Chronicles Deck: Spirit Charmers","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Spellcaster Structure Deck","Yu-Gi-Oh, Structure Deck, 2026, Spellcaster",TRUE,Title,"Default Title",SD-2026-002,250,shopify,18,deny,manual,19.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Spirit+Charmers+2026,1,"The Chronicles Deck Spirit Charmers placeholder image",FALSE,"The Chronicles Deck: Spirit Charmers","Structure Deck product import for Arcana Vault.",active
legendary-5d-s-decks,"Legendary 5D's Decks","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Synchro Structure Deck","Yu-Gi-Oh, Structure Deck, 2025, Synchro",TRUE,Title,"Default Title",SD-2025-003,250,shopify,10,deny,manual,24.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Legendary+5Ds+Decks,1,"Legendary 5D's Decks placeholder image",FALSE,"Legendary 5D's Decks","Structure Deck product import for Arcana Vault.",active
the-fallen-and-the-virtuous-chronicles-deck,"The Fallen & The Virtuous: Chronicles Deck","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2025, Dark",TRUE,Title,"Default Title",SD-2025-004,250,shopify,7,deny,manual,19.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Fallen+Virtuous+Deck,1,"The Fallen and The Virtuous Chronicles Deck placeholder image",FALSE,"The Fallen & The Virtuous: Chronicles Deck","Structure Deck product import for Arcana Vault.",active
blue-eyes-white-destiny-structure-deck,"Blue-Eyes White Destiny Structure Deck","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2025, Dragon",TRUE,Title,"Default Title",SD-2025-005,250,shopify,5,deny,manual,19.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Blue+Eyes+White+Destiny,1,"Blue-Eyes White Destiny Structure Deck placeholder image",FALSE,"Blue-Eyes White Destiny Structure Deck","Structure Deck product import for Arcana Vault.",active
dark-world-structure-deck,"Dark World Structure Deck","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2022, Dark",TRUE,Title,"Default Title",SD-2022-006,250,shopify,9,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dark+World,1,"Dark World Structure Deck placeholder image",FALSE,"Dark World Structure Deck","Structure Deck product import for Arcana Vault.",active
albaz-strike-structure-deck,"Albaz Strike Structure Deck","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2022, Dragon",TRUE,Title,"Default Title",SD-2022-007,250,shopify,14,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Albaz+Strike,1,"Albaz Strike Structure Deck placeholder image",FALSE,"Albaz Strike Structure Deck","Structure Deck product import for Arcana Vault.",active
cyber-strike-structure-deck,"Cyber Strike Structure Deck","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Machine Structure Deck","Yu-Gi-Oh, Structure Deck, 2021, Machine",TRUE,Title,"Default Title",SD-2021-008,250,shopify,6,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Cyber+Strike,1,"Cyber Strike Structure Deck placeholder image",FALSE,"Cyber Strike Structure Deck","Structure Deck product import for Arcana Vault.",active
freezing-chains,"Freezing Chains","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Water Structure Deck","Yu-Gi-Oh, Structure Deck, 2021, Water",TRUE,Title,"Default Title",SD-2021-009,250,shopify,16,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Freezing+Chains,1,"Freezing Chains placeholder image",FALSE,"Freezing Chains","Structure Deck product import for Arcana Vault.",active
spirit-charmers,"Spirit Charmers","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Spellcaster Structure Deck","Yu-Gi-Oh, Structure Deck, 2020, Spellcaster",TRUE,Title,"Default Title",SD-2020-010,250,shopify,11,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Spirit+Charmers,1,"Spirit Charmers placeholder image",FALSE,"Spirit Charmers","Structure Deck product import for Arcana Vault.",active
sacred-beasts,"Sacred Beasts","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Creature Structure Deck","Yu-Gi-Oh, Structure Deck, 2020, Beast",TRUE,Title,"Default Title",SD-2020-011,250,shopify,8,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Sacred+Beasts,1,"Sacred Beasts placeholder image",FALSE,"Sacred Beasts","Structure Deck product import for Arcana Vault.",active
mechanized-madness,"Mechanized Madness","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Machine Structure Deck","Yu-Gi-Oh, Structure Deck, 2020, Machine",TRUE,Title,"Default Title",SD-2020-012,250,shopify,22,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Mechanized+Madness,1,"Mechanized Madness placeholder image",FALSE,"Mechanized Madness","Structure Deck product import for Arcana Vault.",active
shaddoll-showdown,"Shaddoll Showdown","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2020, Fusion",TRUE,Title,"Default Title",SD-2020-013,250,shopify,4,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Shaddoll+Showdown,1,"Shaddoll Showdown placeholder image",FALSE,"Shaddoll Showdown","Structure Deck product import for Arcana Vault.",active
soulburner,"Soulburner","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Fire Structure Deck","Yu-Gi-Oh, Structure Deck, 2019, Fire",TRUE,Title,"Default Title",SD-2019-014,250,shopify,13,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Soulburner,1,"Soulburner placeholder image",FALSE,"Soulburner","Structure Deck product import for Arcana Vault.",active
zombie-horde,"Zombie Horde","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2018, Zombie",TRUE,Title,"Default Title",SD-2018-015,250,shopify,6,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Zombie+Horde,1,"Zombie Horde placeholder image",FALSE,"Zombie Horde","Structure Deck product import for Arcana Vault.",active
powercode-link,"Powercode Link","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Link Structure Deck","Yu-Gi-Oh, Structure Deck, 2018, Link",TRUE,Title,"Default Title",SD-2018-016,250,shopify,18,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Powercode+Link,1,"Powercode Link placeholder image",FALSE,"Powercode Link","Structure Deck product import for Arcana Vault.",active
